-178.938675,53.205650,9.984425,15.185492,3.785687,0.922801,2.598784,-0.701657,-2.008525,3.884728,2.379695,-0.629237,-0.761451,40.702187,15.707125,10.692945,10.360843,9.112153,11.338453,3.684577,5.257170,4.334094,4.268083,3.640151,3.451309,3.347332,5
-172.550766,57.287388,13.009889,11.445594,0.007923,-5.722002,1.875336,-0.961773,-5.254562,0.876143,-1.918759,2.203213,-5.241687,66.284523,15.459725,9.801459,11.534986,12.679212,6.444563,6.298646,6.683953,3.936522,3.790852,4.934711,4.832291,4.104772,5
-148.347107,55.603580,6.933266,13.845761,1.004063,3.714478,3.711082,-5.207297,-0.530280,2.796206,0.348512,2.290339,-1.757949,38.705639,14.170641,10.778154,9.086326,10.959594,6.939248,4.358240,5.962004,3.257282,4.058767,3.941644,3.882891,3.145697,5
-194.184555,77.163467,13.881863,11.271788,6.397838,-0.932382,0.011118,0.208871,-4.122087,-4.862323,-1.001214,4.788096,0.016977,45.073463,15.895237,7.626373,5.887756,10.908017,6.061949,5.356068,6.638889,5.357727,5.316220,3.348221,3.458577,3.029257,5
-187.048370,52.591747,11.767183,8.398843,-2.511417,5.729639,3.891467,-6.074894,0.896504,2.164102,-4.067763,2.053404,-0.039398,59.030891,20.850328,15.301057,9.412106,4.635548,5.972705,3.688432,7.308198,4.121326,3.726765,4.010576,3.050831,3.164851,5
-229.480789,57.672531,33.951050,13.799396,0.580613,-3.767227,4.073175,6.541447,-6.211057,2.549525,-5.664314,0.777443,-5.723208,64.628120,23.767607,14.247559,11.027923,12.713125,12.827562,5.697413,6.102598,7.387164,5.857651,4.461020,3.024975,5.101762,5
-113.687889,44.197445,-1.631164,7.586410,11.019581,3.584399,-4.019228,3.985894,-2.782881,-0.210119,-1.993081,0.567544,0.402130,21.516129,10.458514,8.060825,8.305820,6.759578,5.091310,4.874533,4.992293,3.754369,4.107887,3.869435,3.116287,2.541239,5
-161.700653,56.356884,1.630326,19.157940,6.112710,1.380676,7.309688,-5.131200,0.800398,0.196720,-1.627101,0.973640,-4.225873,53.534115,15.814702,20.471994,8.552246,14.797068,7.959740,5.750318,5.979809,4.088897,3.572103,5.220273,2.706395,3.507852,5
-186.486450,63.884151,18.340427,11.473829,2.216332,0.318264,-1.700853,-1.984809,-2.228092,1.917787,-4.450440,-1.008661,-5.867274,56.072510,24.768314,15.613409,8.382017,8.965247,6.321249,3.894042,5.355319,6.040389,5.013292,4.437365,4.280493,3.864856,5
-205.946121,36.209442,12.035183,6.418216,3.830326,8.302392,-0.168213,-5.908713,-0.588591,0.479550,-5.993583,5.220756,0.301382,71.079811,48.357048,19.591833,10.749698,10.847822,11.601190,8.264604,10.052830,6.279037,5.565122,4.857162,4.939860,3.184621,6
-160.568359,52.229424,2.279387,7.391437,-3.911511,0.958827,-7.347138,-11.914278,1.040828,-3.081992,-3.598301,4.235110,1.123375,51.818058,42.599438,14.900290,7.686229,6.935415,7.043880,5.995792,5.050464,4.457429,4.451033,7.113563,4.782426,2.585209,6
-115.252579,44.088318,-3.365768,6.707272,13.809549,3.307865,-2.916162,3.498546,-0.453375,-0.215449,0.039190,0.903569,1.070859,30.856483,14.874986,7.953838,11.043565,3.597324,4.223725,3.936568,5.667366,3.225687,2.998788,3.097890,2.477597,2.608687,6
-168.416519,79.435036,-4.606749,4.515859,-1.448354,-8.163594,-4.475563,2.788173,-6.458915,0.641205,-3.794894,-1.128578,4.095986,42.359581,24.355057,14.145739,8.827092,11.156991,8.323644,4.838989,6.828331,5.428717,3.672853,5.439636,4.198793,4.225231,6
-163.601746,29.902163,21.074894,2.802634,-10.533450,-4.332075,0.398626,-0.820485,-6.917039,3.990317,-7.640537,4.685014,-3.618629,57.373775,43.190071,12.970349,10.749214,9.026514,6.212951,4.370164,6.541560,6.042337,4.770879,4.889017,4.604121,2.877279,6
-181.435059,66.283340,12.067583,7.474960,3.691448,1.279265,-4.621866,-3.114421,-1.804352,1.286167,-1.606985,2.473773,1.535057,46.594875,34.881004,14.725579,11.677116,8.781567,7.513402,6.394738,5.904027,5.614508,4.575573,4.535125,5.370171,3.899907,6
-158.364426,70.514664,-11.154711,1.996936,8.937201,-3.017260,4.167069,-6.167527,-1.025830,3.658633,1.956029,-0.284828,3.970531,53.064781,20.473133,13.674753,7.910924,4.601382,7.481206,5.572496,6.103298,2.602335,3.458893,3.845772,3.902259,3.154870,6
-132.497604,60.371277,-9.011199,13.117887,1.849725,3.961943,-3.479645,-4.580552,0.657486,-1.885467,-0.917470,-3.250714,-1.612497,64.583405,10.636594,13.181670,10.550282,8.293603,5.874684,3.422882,4.741270,3.283059,3.722717,2.633817,2.611093,3.165095,6
-146.189590,57.115234,8.136812,7.467778,12.381311,0.701578,-2.008975,-7.194685,-6.231829,4.163637,-4.073278,2.581450,-3.250715,72.598640,18.182631,17.178162,16.638477,6.884480,8.629591,4.185932,6.153613,4.469309,3.566391,3.297579,3.915376,2.613125,6
-129.943726,38.824238,2.963508,7.378235,-3.916847,4.155835,2.865353,-2.028701,0.113909,0.698344,1.860700,2.057408,0.894310,37.265533,39.100468,13.397304,4.322034,6.334800,8.655060,5.307102,4.670424,5.565700,2.488450,2.813183,3.674452,4.571251,7
-206.837555,18.732061,11.856714,6.940078,2.223077,8.137484,1.872076,-3.647586,1.258397,2.580255,-2.579165,0.068653,2.778025,49.197281,35.807007,11.578516,7.375590,7.502697,6.246854,5.865147,7.593399,4.464652,4.373088,5.796893,3.265416,3.692440,7
-176.412674,15.847529,10.047853,6.469553,-12.625086,-4.404443,-4.593788,-3.711468,-5.210247,1.362146,-3.956427,0.641016,-3.305094,64.965576,44.410755,8.521280,9.417836,11.059048,6.939891,8.306039,5.141343,4.572039,3.777534,4.797893,5.056266,3.143479,7
-160.674438,58.660320,8.407386,5.391179,-3.920899,2.285482,-2.921872,-5.990001,3.194935,-1.433761,-0.788687,3.287467,2.296198,41.609985,41.406361,9.092570,8.844209,9.429278,8.231668,5.199692,5.914271,4.403798,3.891058,2.653582,3.632171,4.163636,7
-200.850082,20.248981,4.689461,4.921901,-2.774398,2.604264,-0.698830,-3.433955,-5.864118,-0.243479,1.476212,1.173742,-0.514238,95.040543,41.594906,8.511688,11.724198,12.115960,5.034219,5.603552,4.563589,5.619703,2.843106,2.659938,3.667362,2.204280,7
